U:x,Points: x,Points: y,u_t,U+,y+ 
0.0061417,1.99,2.72E-06,1.84E-01,0.0334,0.033375467
0.0063033,1.75,2.72E-06,1.86E-01,0.0338,0.033811593
0.0064883,1.5,2.72E-06,1.89E-01,0.0343,0.034304244
0.0067055,1.99,2.72E-06,1.92E-01,0.0349,0.034873514
0.0068804,1.75,2.72E-06,1.95E-01,0.0353,0.035325425
0.007081,1.5,2.72E-06,1.98E-01,0.0358,0.035836705
0.0072914,1.99,2.72E-06,2.01E-01,0.0364,0.036365298
0.0074801,1.75,2.72E-06,2.03E-01,0.0368,0.036832835
0.0076968,1.5,2.72E-06,2.06E-01,0.0374,0.037362573
0.007899,1.99,2.72E-06,2.09E-01,0.0378,0.03785005
0.0081019,1.75,2.72E-06,2.11E-01,0.0383,0.038333169
0.0083353,1.5,2.72E-06,2.14E-01,0.0389,0.038881316
0.0085287,1.99,2.72E-06,2.17E-01,0.0393,0.039329789
0.0087462,1.75,2.72E-06,2.20E-01,0.0398,0.039828291
0.0089967,1.5,2.72E-06,2.23E-01,0.0404,0.040394636
0.0091801,1.99,2.72E-06,2.25E-01,0.0408,0.040804143
0.0094127,1.75,2.72E-06,2.28E-01,0.0413,0.041317907
0.0096808,1.5,2.72E-06,2.31E-01,0.0419,0.04190229
0.019392,1.99,8.59E-06,1.84E-01,0.1054,0.105379617
0.019902,1.75,8.59E-06,1.86E-01,0.1068,0.106756639
0.020486,1.5,8.59E-06,1.89E-01,0.1083,0.108312136
0.021172,1.99,8.59E-06,1.92E-01,0.1101,0.110109548
0.021724,1.75,8.59E-06,1.95E-01,0.1115,0.111536409
0.022357,1.5,8.59E-06,1.98E-01,0.1131,0.113150724
0.023022,1.99,8.59E-06,2.01E-01,0.1148,0.114819701
0.023618,1.75,8.59E-06,2.03E-01,0.1163,0.116295902
0.024302,1.5,8.59E-06,2.06E-01,0.118,0.117968495
0.024941,1.99,8.59E-06,2.09E-01,0.1195,0.119507655
0.025581,1.75,8.59E-06,2.11E-01,0.121,0.121033053
0.026318,1.5,8.59E-06,2.14E-01,0.1228,0.122763773
0.026929,1.99,8.59E-06,2.17E-01,0.1242,0.124179779
0.027615,1.75,8.59E-06,2.20E-01,0.1258,0.125753746
0.028406,1.5,8.59E-06,2.23E-01,0.1275,0.127541925
0.028986,1.99,8.59E-06,2.25E-01,0.1288,0.1288349
0.029719,1.75,8.59E-06,2.28E-01,0.1305,0.130457058
0.030566,1.5,8.59E-06,2.31E-01,0.1323,0.132302189
0.034729,1.99,1.54E-05,1.84E-01,0.1887,0.188720753
0.035641,1.75,1.54E-05,1.86E-01,0.1912,0.191186814
0.036687,1.5,1.54E-05,1.89E-01,0.194,0.1939725
0.037916,1.99,1.54E-05,1.92E-01,0.1972,0.197191424
0.038904,1.75,1.54E-05,1.95E-01,0.1997,0.199746741
0.040038,1.5,1.54E-05,1.98E-01,0.2026,0.202637763
0.041229,1.99,1.54E-05,2.01E-01,0.2056,0.205626676
0.042295,1.75,1.54E-05,2.03E-01,0.2083,0.208270354
0.04352,1.5,1.54E-05,2.06E-01,0.2113,0.211265744
0.044665,1.99,1.54E-05,2.09E-01,0.214,0.214022173
0.045811,1.75,1.54E-05,2.11E-01,0.2167,0.216753957
0.04713,1.5,1.54E-05,2.14E-01,0.2198,0.219853443
0.048226,1.99,1.54E-05,2.17E-01,0.2224,0.22238932
0.049454,1.75,1.54E-05,2.20E-01,0.2252,0.225208084
0.050871,1.5,1.54E-05,2.23E-01,0.2284,0.228410471
0.051909,1.99,1.54E-05,2.25E-01,0.2307,0.230726016
0.053223,1.75,1.54E-05,2.28E-01,0.2336,0.233631083
0.054739,1.5,1.54E-05,2.31E-01,0.2369,0.236935465
0.052479,1.99,2.32E-05,1.84E-01,0.2852,0.285172846
0.053857,1.75,2.32E-05,1.86E-01,0.2889,0.288899272
0.055438,1.5,2.32E-05,1.89E-01,0.2931,0.293108677
0.057296,1.99,2.32E-05,1.92E-01,0.298,0.297972739
0.058788,1.75,2.32E-05,1.95E-01,0.3018,0.301834036
0.060502,1.5,2.32E-05,1.98E-01,0.3062,0.306202613
0.062303,1.99,2.32E-05,2.01E-01,0.3107,0.310719111
0.063912,1.75,2.32E-05,2.03E-01,0.3147,0.31471393
0.065764,1.5,2.32E-05,2.06E-01,0.3192,0.319240214
0.067494,1.99,2.32E-05,2.09E-01,0.3234,0.323405409
0.069225,1.75,2.32E-05,2.11E-01,0.3275,0.327533363
0.071219,1.5,2.32E-05,2.14E-01,0.3322,0.332216946
0.072875,1.99,2.32E-05,2.17E-01,0.3361,0.336048868
0.07473,1.75,2.32E-05,2.20E-01,0.3403,0.340308257
0.076871,1.5,2.32E-05,2.23E-01,0.3451,0.345147332
0.078441,1.99,2.32E-05,2.25E-01,0.3487,0.348646314
0.080425,1.75,2.32E-05,2.28E-01,0.353,0.353036113
0.082716,1.5,2.32E-05,2.31E-01,0.358,0.358029311
0.073024,1.99,3.23E-05,1.84E-01,0.3968,0.396825162
0.07494,1.75,3.23E-05,1.86E-01,0.402,0.402010576
0.07714,1.5,3.23E-05,1.89E-01,0.4078,0.407868068
0.079727,1.99,3.23E-05,1.92E-01,0.4146,0.414636533
