"U:0","U:1","U:2","p","k","omega","nut","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0033255,0.017955,0,-0.15231,1.1195e-12,2.3703e+05,4.7229e-18,1,0,0.5,0,0
0.0033255,0.017955,0,-0.15231,1.1195e-12,2.3703e+05,4.7229e-18,1,7.1152e-05,0.5,7.1152e-05,0
0.010115,0.018579,0,-0.15241,3.4315e-11,43145,7.9534e-16,1,0.00021885,0.5,0.00021885,0
0.017863,0.018526,0,-0.15234,2.8954e-10,14622,1.9801e-14,1,0.00037775,0.5,0.00037775,0
0.026624,0.018464,0,-0.15226,1.3188e-09,6788.3,1.9428e-13,1,0.0005487,0.5,0.0005487,0
0.0365,0.0185,0,-0.1522,4.3557e-09,3771.3,1.155e-12,1,0.00073261,0.5,0.00073261,0
0.04764,0.01856,0,-0.15215,1.1909e-08,2346.9,5.0747e-12,1,0.00093048,0.5,0.00093048,0
0.060219,0.018625,0,-0.15209,2.8863e-08,1577.7,1.8295e-11,1,0.0011433,0.5,0.0011433,0
0.07446,0.018708,0,-0.15204,6.4492e-08,1121.5,5.7507e-11,1,0.0013724,0.5,0.0013724,0
0.090658,0.018814,0,-0.15199,1.3619e-07,831.63,1.6376e-10,1,0.0016187,0.5,0.0016187,0
0.1092,0.018949,0,-0.15194,2.7639e-07,637.7,4.3342e-10,1,0.0018838,0.5,0.0018838,0
0.13062,0.019118,0,-0.15189,5.4553e-07,502.6,1.0854e-09,1,0.002169,0.5,0.002169,0
0.15563,0.019329,0,-0.15184,1.0564e-06,405.49,2.6053e-09,1,0.0024757,0.5,0.0024757,0
0.18518,0.019593,0,-0.15179,2.0206e-06,333.96,6.0504e-09,1,0.0028058,0.5,0.0028058,0
0.22061,0.019926,0,-0.15173,3.8367e-06,280.33,1.3686e-08,1,0.0031609,0.5,0.0031609,0
0.26372,0.020348,0,-0.15167,7.2588e-06,239.65,3.0289e-08,1,0.0035429,0.5,0.0035429,0
0.31692,0.020891,0,-0.1516,1.3714e-05,208.65,6.573e-08,1,0.0039539,0.5,0.0039539,0
0.38326,0.021599,0,-0.15152,2.5892e-05,185.08,1.399e-07,1,0.004396,0.5,0.004396,0
0.46631,0.02253,0,-0.15141,4.8769e-05,167.33,2.9146e-07,1,0.0048717,0.5,0.0048717,0
